ID,AGE(Y),SEX,BB/IS,CONDITION,SUBCONDITION,VIDORDER,PRETEST,CTRL_1_A,CTRL_1_B,CTRL_1_C,CTRL_1_D,CTRL_1__E,CTRL_2_A,CTRL_2_B,CTRL_2_C,CTRL_2_D,CTRL_2__E,MAIN_1_A,MAIN_1_B,MAIN_1_C,MAIN_2_A,MAIN_2_B,MAIN_2__C
84,6,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,0,1
85,6,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
86,6,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
87,6,1,0,0,3,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
88,6,1,0,0,3,0,1,1,0,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
89,6,1,0,1,3,0,1,1,1,1,0,NaN,1,1,1,1,NaN,1,1,1,1,1,1
90,6,1,0,0,3,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,2,2,1,2,2
91,6,0,0,0,3,1,0,1,1,1,1,NaN,0,1,1,1,NaN,1,0,0,1,0,0
92,6,1,0,0,3,0,1,0,1,1,1,NaN,0,1,1,1,NaN,1,2,2,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
